Model,Loss
BOW,"[0.7174085920507257, 0.6767708117311652, 0.6594892740249634, 0.6322585019198331, 0.5982307737523859, 0.5624938851053064, 0.5215904279188677, 0.4756264036351984, 0.4284139167178761, 0.3855633247982372, 0.351169152693315, 0.32532325657931244, 0.3062045086513866, 0.2920249510895122, 0.2809467342766849, 0.272503061728044, 0.2655049792744897, 0.25941747426986694, 0.25390051711689343, 0.24856943433934992]"
BOW_LN,"[0.7074070952155374, 0.6777766780419783, 0.6640387719327753, 0.6416959979317405, 0.6045294566587969, 0.5534589805386283, 0.4952930455858057, 0.4399214116009799, 0.39372405680743133, 0.3574351505799727, 0.33035567131909455, 0.31043644655834546, 0.29539952359416266, 0.2843701080842452, 0.2752040936188264, 0.26812739399346436, 0.2619320221922614, 0.25624364749951795, 0.25148661028255115, 0.24666167931123215]"
BOW_HM_LN,"[0.9708784222602844, 0.680595956065438, 0.6444263187321749, 0.6112487966364081, 0.5289378355849873, 0.43505739352919837, 0.36434833028099756, 0.32512588663534686, 0.29990887912836944, 0.2815635312687267, 0.26415710015730426, 0.24856109510768543, 0.23331990973515945, 0.21778240393508563, 0.20084707032550464, 0.18179786205291748, 0.16269152679226614, 0.1443094943057407, 0.1262877962806008, 0.10993249307979237]"
